"Month","Day","Year","Time","Flux","Temperature (C)","CO2 Soil (ppm) ","CO2 Soil STD (ppm)","CO2 ATM (ppm)","CO2 ATM STD (ppm)","Mode"
07,16,21,08:57:42,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,1
07,16,21,08:58:57,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2
07,16,21,09:10:00,  -0.10,  25.7,  168.03,   2.908,  173.58,   7.812,0
07,16,21,09:15:00,   0.26,  26.6,  179.17,  13.589,  164.52,   1.983,0
07,16,21,09:20:00,   1.75,  27.3,  384.49,  25.482,  285.47,  22.990,0
07,16,21,09:25:00,   0.04,  27.8,  490.24,  46.997,  488.01,  15.941,0
07,16,21,09:30:00,  -0.43,  28.3,  214.80,  47.262,  239.41,  29.929,0
07,16,21,09:35:00,   0.03,  28.6,  243.61,   7.915,  242.01,   6.963,0
07,16,21,09:40:00,  -0.27,  28.7,  221.06,   1.145,  236.12,   2.566,0
07,16,21,09:45:00,   0.61,  28.7,  301.20,  10.983,  266.91,  14.674,0
07,16,21,09:50:00,   0.18,  28.8,  454.00,  12.173,  443.66,  13.767,0
07,16,21,09:55:00,  -1.61,  28.8,  101.50,   8.319,  192.36,  36.859,0
07,16,21,10:00:00,  -0.14,  28.3,   71.55,   2.597,   79.63,   8.856,0
07,16,21,10:05:00,  -0.31,  26.9,   57.82,   8.641,   75.52,   6.005,0
07,16,21,10:10:00,   0.75,  24.9,   77.43,  10.404,   35.13,   5.465,0
07,16,21,10:15:00,  -0.49,  23.3,   61.10,   7.276,   88.70,   9.321,0
07,16,21,10:20:00,  -0.35,  22.2,   68.24,   6.053,   88.01,   3.935,0
07,16,21,10:25:00,   0.61,  21.8,   93.85,   5.907,   59.35,   3.525,0
07,16,21,10:30:00,   0.68,  21.3,   96.10,   1.794,   57.67,   2.071,0
07,16,21,10:35:00,   0.59,  20.8,   87.08,   2.480,   53.67,   0.478,0
07,16,21,10:40:00,   0.76,  20.2,  106.50,   4.365,   63.70,   3.500,0
07,16,21,10:45:00,   0.69,  19.6,  105.11,  18.174,   65.99,   5.417,0
07,16,21,10:50:00,   0.38,  19.4,   86.65,   5.987,   65.29,   3.698,0
07,16,21,10:55:00,   0.33,  19.1,   81.39,   1.779,   62.97,   1.755,0
07,16,21,11:00:00,   0.27,  18.8,   80.36,   4.010,   65.17,   1.630,0
07,16,21,11:05:00,   0.05,  18.1,   59.83,   9.019,   57.16,   1.666,0
07,16,21,11:10:00,   2.84,  17.4,  281.28,  17.757,  120.79,  21.097,0
07,16,21,11:15:00,  -1.68,  17.0,  226.48,  25.444,  321.40,  12.246,0
07,16,21,11:24:14,  -0.00,  -0.0,   -0.00,  -0.000,   -0.00,  -0.000,2
