lat_fit,lon_fit,ele_fit,x_pred,x,d,w,Date,Flux_ave,adjusted_ppm,AirTemp_c,Total_hPa,VaisalaType,EOS_no,notes,ele_arcpro,dist_diff,slope
-0.327099639,-78.20096762,4110.405019,8.920866625,10,2.5,18,,NA,NA,,,,,,4108.164063,#REF!,
-0.327166239,-78.20092299,4109.80372,17.84173325,20,3.5,21,,NA,NA,,,,,,4106.965332,30,0.056569009
-0.327293539,-78.20082656,4108.707948,35.6834665,40,3.5,20,,NA,NA,,,,,,4105.190918,,
-0.327226739,-78.20088385,4109.383347,25.87051321,29,NA,NA,,NA,NA,,,,,underground,4106.109375,,
-0.327239739,-78.20087435,4109.285107,27.65468654,31,NA,NA,,NA,NA,,,,,underground,4105.817383,,
-0.327343639,-78.20076405,4107.667858,44.60433312,50,NA,NA,,NA,NA,,,,,,4104.736328,,
-0.327339039,-78.20077071,4107.792458,43.70323011,,,,6/29/21,0.905,4965.087468,7.198,627.0824,new,EOS1,,,,
-0.327227939,-78.200883,4109.374602,26.02879747,,,,6/30/21,0.465,2015.453656,6.809,626.2334,new,EOS1,,,,
-0.327175439,-78.20091729,4109.741699,19.04712702,,,,6/30/21,0.255,1334.11874,6.768,626.1864,new,EOS1,,,,
-0.327118239,-78.20095407,4110.170763,11.47562717,,,,6/29/21,0.105,2074.690358,7.196,627.1124,new,EOS1,,,,
-0.327111639,-78.20095874,4110.245924,10.57558919,,,,6/30/21,0.105,1834.589139,6.823,626.0904,new,EOS1,,,,
-0.327040639,-78.20102159,4111.506607,0,,,,6/29/21,1.1,6479.94941,7.196,627.1424,new,EOS1,,,,
-0.327040639,-78.20102159,4111.506607,0,,,,6/30/21,0.155,1826.534063,6.826,626.1474,new,EOS1,,,,
